Name,Height
Aurelia Barbagallo,5-3
Jacqueline DeFranco,5-5
Katherine Ebrahim,5-9
Jessica Johnson,5-8
Brooke Manning,5-6
Edna Melendez,5-9
Morgan Novello,5-5
Kolleen Rodriguez,5-2
Deanna Soueid,5-2
Jordan Swanson,5-7
Katarina Tsirlin,5-4
Asmea Youssef,5-7
Rupakshi Aggarwal,-
Asha Besaw,5-1
Rory Chea,5-4
Claudia Cimino,-
Laura Cruz Rosario,5-3
Natalia Cuttler,5-6
Jillian Etnel,5-3
Kristen Flores,5-1
Alexis Hall,5-8
Bianca Hiltz,5-9
Fatima Morrobel,5-2
Melanie Rodriguez,4-11
Nakia Usher,4-10
Julia Wyman,4-10
Scarlet Astudillo,5-4
Joscelyn  Galindo,5-3
Dea Gazheli,5-3
Amanda Lee,5-1
Katherine Lee,5-2
Jillian Quinn,5-5
Aanya Shukul,5-9
Nicole  Tarasiuk,5-7
Joyce  Wong,5-4
Amy Zeng,5-2
Christine  Bailey,-
Elizabeth Bailey,-
Gurveen Dhallu,-
Ayatallah Elkotby,-
Hebatallah Elkotby,6-0
Erin  Forrest,-
Sydney Gdanski,-
Julie  Huang,-
Hailey Johnston,-
Anastasia Kutuzov,-
Diana Plasencia,-
Diana Rezk,5-8
Veronika Tsiko,-
Evi Blennert,-
Kayla Bulseco,-
Kornelia Buszka,5-11
Kathryn Chaves,-
Selena Corona,-
Laney Fenton,5-6
Morgen Frausto,5-9
Megan Hollaar,5-9
Ellie Lopez,5-7
Adi Luker,5-10
Maddie Lynch,-
Stephanie Marks,5-10
Adison Marshall,5-9
Beata Maruszczyk,5-3
Joselle Mensah,5-9
Karissa Metzger,5-7
Marlene Pape,5-8
Maja Piotrowicz,6-1
Lucy Price,-
Ashley Richard,5-4
Nina Tasic,5-7
Bayley Thompson,5-5
Linsey Watson,5-8
Calahan Williams,-
Saylor Wilson,5-6
Lyssa Wood,5-9
Aurora Abbruscato,5-6
Ana Cecilia Carvalho,5-4
Terrah DeLorimiere,5-3
McKenzie Fazio,6-3
Chiara Fuerst,5-7
Olivia Fuller,5-8
Atzi Gomez,5-3
Sarah Gormley,5-6
Presley Heitzmann,5-11
Alexis Kachkin,5-9
Natalia Kralova,5-7
Helena  Kurtz,5-4
Ellie  Lawrence,5-7
Victoria Maki,5-10
Andrea  Menard Cordoba,5-4
Keianna Moss,5-8
Gabriela Novais Lima,5-10
Rylee Sitton,5-7
Caitlyn Sligh,5-8
Karley Sonnenberg,5-10
Logan Wilson,5-5
Jocelyn Zgola,5-10
Fifi  Amanuel,5-4
Julia Caramagna,5-2
Meghan Cortez-Fields,5-8
Keila Fane,5-2
Maddy Joe,5-2
Grace Korey,5-10
Camila Mercado,5-1
Valeria Pages,5-1
Alazne Sudupe,5-5
Magdalen Swat,5-2
Rachel Vazquez,5-5
Cami Yovich,5-2
Krisztina Balogh,5-6
Emma Bellars,5-5
Abby Burns,5-5
Amanda Davis,5-8
Isabel DeSanno,5-7
Alisa Dovbnya,5-8
Grace Geyer,5-11
Taylor Jacobson,5-1
Ashley Konz,5-8
Emma Lindecke,5-6
Abbie Masters,5-3
Naomee  Miller,5-5
Teagan Powell,5-9
Diana Quiroz,5-5
Vivian Ravines,5-9
Brianna Shaw,5-9
Sydney Stemley,5-6
Kylie Tininenko,5-2
Claire Armstrong,5-5
Alexandria Bard,5-6
Madeline Boyer,5-5
Ashley Brousseau,5-9
Denise Coby,5-6
Cadence  Dudley,5-2
Emma Grefski,-
Anna Guzzo,5-4
Macayla Hodkinson,5-6
Alison Jorolemon,5-9
Emily Kendrick,5-4
Allison LaBarbera,-
Alaska Lilliock,5-6
Anna McCall,5-6
Lena Nakken,5-9
Margaret Nolan,5-7
Sophia Olson,5-2
Jessica Shaw,5-4
Paige Splendido,5-5
Emma Stephenson,5-7
Callie Stinson,5-4
Alyssa Thompson,5-7
Raina Willie,5-9
